sequence	bank	text_id	kind	source_location	packed_bytes	japanese_exact	japanese_readable	mechanical_romaji	normalized_japanese_aid	current_english_exact	current_english_readable	source_controls	english_controls	control_match	script_profile	voice_dialect_register	orthography_kanji_katakana	comparison_flags	review_priority	proposed_retranslation	reviewer_notes
728	TT4	TT4/g3/r22	scenario	group 3 @ 0xBBD3; record 22	group-compressed	はです「ちえのかみにきいて でなおしてこい」	はです「ちえのかみにきいて でなおしてこい」	hadesu「chienokaminikiite denaoshitekoi」	はです「ちえのかみにきいて でなおしてこい」	Hades: Ask Athena first.	Hades: Ask Athena first.			yes	hiragana:19; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
729	TT4	TT4/g3/r23	scenario	group 3 @ 0xBBD3; record 23	group-compressed	はです「よくわかったな{CTRL:0} わたしが よみのくにのまもりがみ・はですだ{CTRL:2} まあしょうがない とくべつにきょかしよう」	はです「よくわかったな ⟦CTRL:0⟧  わたしが よみのくにのまもりがみ・はですだ ⟦CTRL:2⟧  まあしょうがない とくべつにきょかしよう」	hadesu「yokuwakattana /  watashiga yominokuninomamorigami・hadesuda /  maashouganai tokubetsunikyokashiyou」	はです「よくわかったな わたしが よみのくにのまもりがみ・はですだ まあしょうがない とくべつにきょかしよう」	Hades: You know me.{CTRL:0}I guard the underworld.{CTRL:2}Fine. You may enter.	Hades: You know me. ⟦CTRL:0⟧ I guard the underworld. ⟦CTRL:2⟧ Fine. You may enter.	0,2	0,2	yes	hiragana:48; katakana:1; kanji:0; Latin:0; digits:0		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
730	TT4	TT4/g3/r24	scenario	group 3 @ 0xBBD3; record 24	group-compressed	へいし「け… けがなど しておらぬわ／」	へいし「け… けがなど しておらぬわ／」	heishi「ke… keganado shiteoranuwa／」	へいし「け… けがなど しておらぬわ／」	Soldier: I-I'm unhurt!	Soldier: I-I'm unhurt!			yes	hiragana:14; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		へいし → 兵士	ellipsis carries timing/hesitation tone	low		
731	TT4	TT4/g3/r25	scenario	group 3 @ 0xBBD3; record 25	group-compressed	おれ「これを あしにぬりなさい」{CTRL:0}へいし「いたたたた……」	おれ「これを あしにぬりなさい」 ⟦CTRL:0⟧ へいし「いたたたた……」	ore「koreo ashininurinasai」 / heishi「itatatata……」	おれ「これを あしにぬりなさい」へいし「いたたたた……」	Me: Use this on the leg.{CTRL:0}Soldier: Owwww...	Me: Use this on the leg. ⟦CTRL:0⟧ Soldier: Owwww...	0	0	yes	hiragana:21; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	おれ: plain-to-rough masculine first person	へいし → 兵士	ellipsis carries timing/hesitation tone	medium		
732	TT4	TT4/g3/r26	scenario	group 3 @ 0xBBD3; record 26	group-compressed	おれ「これを あしにぬりなさい」{CTRL:0}へいし「まことに かたじけない」	おれ「これを あしにぬりなさい」 ⟦CTRL:0⟧ へいし「まことに かたじけない」	ore「koreo ashininurinasai」 / heishi「makotoni katajikenai」	おれ「これを あしにぬりなさい」へいし「まことに かたじけない」	Me: Use this on the leg.{CTRL:0}Soldier: My thanks.	Me: Use this on the leg. ⟦CTRL:0⟧ Soldier: My thanks.	0	0	yes	hiragana:26; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	おれ: plain-to-rough masculine first person	へいし → 兵士		medium		
733	TT4	TT4/g3/r27	scenario	group 3 @ 0xBBD3; record 27	group-compressed	へいし「ほどこしは うけん／」	へいし「ほどこしは うけん／」	heishi「hodokoshiha uken／」	へいし「ほどこしは うけん／」	Soldier: No charity!	Soldier: No charity!			yes	hiragana:11; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		へいし → 兵士		low		
734	TT4	TT4/g3/r28	scenario	group 3 @ 0xBBD3; record 28	group-compressed	やりをふりまわすと……{CTRL:1}おりーぶのみが おちてきた	やりをふりまわすと…… ⟦CTRL:1⟧ おりーぶのみが おちてきた	yariofurimawasuto…… / oriibunomiga ochitekita	やりをふりまわすと……おりーぶのみが おちてきた	I swing the spear...{CTRL:1}Olives tumble down.	I swing the spear... ⟦CTRL:1⟧ Olives tumble down.	1	1	yes	hiragana:20; katakana:1; kanji:0; Latin:0; digits:0		Source suppresses normal kanji/katakana distinctions; restore only with context	ellipsis carries timing/hesitation tone	medium		
735	TT4	TT4/g3/r29	scenario	group 3 @ 0xBBD3; record 29	group-compressed	てが とどかない	てが とどかない	tega todokanai	てが とどかない	I cannot reach them.	I cannot reach them.			yes	hiragana:7; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
736	TT4	TT4/g3/r30	scenario	group 3 @ 0xBBD3; record 30	group-compressed	てあたりしだいに ふくろへつめこんだ	てあたりしだいに ふくろへつめこんだ	teatarishidaini fukurohetsumekonda	てあたりしだいに ふくろへつめこんだ	I cram them in the bag.	I cram them in the bag.			yes	hiragana:17; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
737	TT4	TT4/g3/r31	scenario	group 3 @ 0xBBD3; record 31	group-compressed	もう ふくろにはいらない	もう ふくろにはいらない	mou fukuronihairanai	もう ふくろにはいらない	The bag is already full.	The bag is already full.			yes	hiragana:11; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
738	TT4	TT4/g4/r0	scenario	group 4 @ 0xBEB5; record 0	group-compressed	へいし「や やめろ／ わっ／」	へいし「や やめろ／ わっ／」	heishi「ya yamero／ wa／」	へいし「や やめろ／ わっ／」	Soldier: S-stop! Whoa!	Soldier: S-stop! Whoa!			yes	hiragana:9; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		へいし → 兵士		low		
739	TT4	TT4/g4/r1	scenario	group 4 @ 0xBEB5; record 1	group-compressed	へいし「ちょっとのあいだ だけだぞ」	へいし「ちょっとのあいだ だけだぞ」	heishi「chottonoaida dakedazo」	へいし「ちょっとのあいだ だけだぞ」	Soldier: Just briefly.	Soldier: Just briefly.			yes	hiragana:15; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	ぞ: forceful assertion or command emphasis	へいし → 兵士		medium		
740	TT4	TT4/g4/r2	scenario	group 4 @ 0xBEB5; record 2	group-compressed	やめとこう	やめとこう	yametokou	やめとこう	Better not.	Better not.			yes	hiragana:5; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
741	TT4	TT4/g4/r3	scenario	group 4 @ 0xBEB5; record 3	group-compressed	へいし「やりをかえせ／」	へいし「やりをかえせ／」	heishi「yariokaese／」	へいし「やりをかえせ／」	Soldier: My spear!	Soldier: My spear!			yes	hiragana:9; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		へいし → 兵士		low		
742	TT4	TT4/g4/r4	scenario	group 4 @ 0xBEB5; record 4	group-compressed	"けるべろす「おす」{CTRL:0}おれ「こんにちは…」{CTRL:2}けるべろす「ここは ""よみのくに""{CTRL:6} いわゆる あのよのいりぐちだ……」{CTRL:3}おれ「あの…」{CTRL:4}けるべろす「はなしはきいている{CTRL:4} こどもをたすけたいのなら わがはいのといに{CTRL:4} こたえてみろ{CTRL:3} みごとあてたら かえしてやる」"	"けるべろす「おす」 ⟦CTRL:0⟧ おれ「こんにちは…」 ⟦CTRL:2⟧ けるべろす「ここは ""よみのくに"" ⟦CTRL:6⟧  いわゆる あのよのいりぐちだ……」 ⟦CTRL:3⟧ おれ「あの…」 ⟦CTRL:4⟧ けるべろす「はなしはきいている ⟦CTRL:4⟧  こどもをたすけたいのなら わがはいのといに ⟦CTRL:4⟧  こたえてみろ ⟦CTRL:3⟧  みごとあてたら かえしてやる」"	"keruberosu「osu」 / ore「konnichiha…」 / keruberosu「kokoha ""yominokuni"" /  iwayuru anoyonoiriguchida……」 / ore「ano…」 / keruberosu「hanashihakiiteiru /  kodomootasuketainonara wagahainotoini /  kotaetemiro /  migotoatetara kaeshiteyaru」"	"けるべろす「おす」おれ「こんにちは…」けるべろす「ここは ""よみのくに"" いわゆる あのよのいりぐちだ……」おれ「あの…」けるべろす「はなしはきいている こどもをたすけたいのなら わがはいのといに こたえてみろ みごとあてたら かえしてやる」"	Cerberus: Yo.{CTRL:0}Me: Hello...{CTRL:2}Cerberus: The underworld{CTRL:6}Gateway to the dead.{CTRL:3}Me: Um...{CTRL:4}Cerberus: Heard of it.{CTRL:4}To save him,{CTRL:4}answer my riddles.{CTRL:3}Win and he is free.	Cerberus: Yo. ⟦CTRL:0⟧ Me: Hello... ⟦CTRL:2⟧ Cerberus: The underworld ⟦CTRL:6⟧ Gateway to the dead. ⟦CTRL:3⟧ Me: Um... ⟦CTRL:4⟧ Cerberus: Heard of it. ⟦CTRL:4⟧ To save him, ⟦CTRL:4⟧ answer my riddles. ⟦CTRL:3⟧ Win and he is free.	0,2,6,3,4,4,4,3	0,2,6,3,4,4,4,3	yes	hiragana:97; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	おれ: plain-to-rough masculine first person	こども → 子供 | はなし → 話	ellipsis carries timing/hesitation tone	medium		
743	TT4	TT4/g4/r5	scenario	group 4 @ 0xBEB5; record 5	group-compressed	けるべろす「5にんのせんだつに はなしを{CTRL:0} きいたら それぞれのなまえをあててみろ」	けるべろす「5にんのせんだつに はなしを ⟦CTRL:0⟧  きいたら それぞれのなまえをあててみろ」	keruberosu「5ninnosendatsuni hanashio /  kiitara sorezorenonamaeoatetemiro」	けるべろす「5にんのせんだつに はなしを きいたら それぞれのなまえをあててみろ」	Cerberus: Ask five sages{CTRL:0}then name every one.	Cerberus: Ask five sages ⟦CTRL:0⟧ then name every one.	0	0	yes	hiragana:35; katakana:0; kanji:0; Latin:0; digits:1; phonetic hiragana orthography		なまえ → 名前 | はなし → 話	source numerals ['5']; verify dates/counts and Japanese ordering	low		
744	TT4	TT4/g4/r6	scenario	group 4 @ 0xBEB5; record 6	group-compressed	けるべろす「よし ほんにんのまえで{CTRL:0} なまえをいってみろ」	けるべろす「よし ほんにんのまえで ⟦CTRL:0⟧  なまえをいってみろ」	keruberosu「yoshi honninnomaede /  namaeoittemiro」	けるべろす「よし ほんにんのまえで なまえをいってみろ」	Cerberus: Good. Now say{CTRL:0}each name to its owner.	Cerberus: Good. Now say ⟦CTRL:0⟧ each name to its owner.	0	0	yes	hiragana:24; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		なまえ → 名前		low		
745	TT4	TT4/g4/r7	scenario	group 4 @ 0xBEB5; record 7	group-compressed	けるべろす「ざんねんだったな もういちど{CTRL:0} やりなおせ」	けるべろす「ざんねんだったな もういちど ⟦CTRL:0⟧  やりなおせ」	keruberosu「zannendattana mouichido /  yarinaose」	けるべろす「ざんねんだったな もういちど やりなおせ」	Cerberus: Too bad. Start{CTRL:0}over again.	Cerberus: Too bad. Start ⟦CTRL:0⟧ over again.	0	0	yes	hiragana:23; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
746	TT4	TT4/g4/r8	scenario	group 4 @ 0xBEB5; record 8	group-compressed	「ぴたごらすは すうがくしゃで{CTRL:0} てつがくしゃのとなりには すわらない」	「ぴたごらすは すうがくしゃで ⟦CTRL:0⟧  てつがくしゃのとなりには すわらない」	「pitagorasuha suugakushade /  tetsugakushanotonariniha suwaranai」	「ぴたごらすは すうがくしゃで てつがくしゃのとなりには すわらない」	Pythagoras studies math.{CTRL:0}He shuns philosophers.	Pythagoras studies math. ⟦CTRL:0⟧ He shuns philosophers.	0	0	yes	hiragana:30; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
747	TT4	TT4/g4/r9	scenario	group 4 @ 0xBEB5; record 9	group-compressed	「わたしはへろどとすでもないし ぷらとん{CTRL:0} でもない となりのれきしかにきいてみろ」	「わたしはへろどとすでもないし ぷらとん ⟦CTRL:0⟧  でもない となりのれきしかにきいてみろ」	「watashihaherodotosudemonaishi puraton /  demonai tonarinorekishikanikiitemiro」	「わたしはへろどとすでもないし ぷらとん でもない となりのれきしかにきいてみろ」	I am not Herodotus or{CTRL:0}Plato. Ask a historian.	I am not Herodotus or ⟦CTRL:0⟧ Plato. Ask a historian.	0	0	yes	hiragana:36; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		れきし → 歴史		low		
748	TT4	TT4/g4/r10	scenario	group 4 @ 0xBEB5; record 10	group-compressed	「あしをくんでいるしじんは ぷらとんと{CTRL:0} なかがわるい」	「あしをくんでいるしじんは ぷらとんと ⟦CTRL:0⟧  なかがわるい」	「ashiokundeirushijinha puratonto /  nakagawarui」	「あしをくんでいるしじんは ぷらとんと なかがわるい」	The cross-legged poet is{CTRL:0}on bad terms with Plato.	The cross-legged poet is ⟦CTRL:0⟧ on bad terms with Plato.	0	0	yes	hiragana:23; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
749	TT4	TT4/g4/r11	scenario	group 4 @ 0xBEB5; record 11	group-compressed	「ほめろすと へろどとすの どちらかが{CTRL:0} れきしかで はじにすわるおとこのなまえは{CTRL:0} 4もじだ」	「ほめろすと へろどとすの どちらかが ⟦CTRL:0⟧  れきしかで はじにすわるおとこのなまえは ⟦CTRL:0⟧  4もじだ」	「homerosuto herodotosuno dochirakaga /  rekishikade hajinisuwaruotokononamaeha /  4mojida」	「ほめろすと へろどとすの どちらかが れきしかで はじにすわるおとこのなまえは 4もじだ」	Homer or Herodotus is{CTRL:0}a historian. The man at{CTRL:0}the end has 4 letters	Homer or Herodotus is ⟦CTRL:0⟧ a historian. The man at ⟦CTRL:0⟧ the end has 4 letters	0,0	0,0	yes	hiragana:38; katakana:0; kanji:0; Latin:0; digits:1; phonetic hiragana orthography		れきし → 歴史 | おとこ → 男 | なまえ → 名前	source numerals ['4']; verify dates/counts and Japanese ordering	low		
750	TT4	TT4/g4/r12	scenario	group 4 @ 0xBEB5; record 12	group-compressed	「てつがくしゃは けっしてしょうめんを{CTRL:0} むかないと そくらてすがいっていた」	「てつがくしゃは けっしてしょうめんを ⟦CTRL:0⟧  むかないと そくらてすがいっていた」	「tetsugakushaha kesshiteshoumeno /  mukanaito sokuratesugaitteita」	「てつがくしゃは けっしてしょうめんを むかないと そくらてすがいっていた」	Socrates says a thinker{CTRL:0}never looks straight on.	Socrates says a thinker ⟦CTRL:0⟧ never looks straight on.	0	0	yes	hiragana:33; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
751	TT4	TT4/g4/r13	scenario	group 4 @ 0xBEB5; record 13	group-compressed	けるべろす「まぐれか… うんがよかったな{CTRL:0} のぞみどおり こどもはかえしてやる{CTRL:0} あがってこい」	けるべろす「まぐれか… うんがよかったな ⟦CTRL:0⟧  のぞみどおり こどもはかえしてやる ⟦CTRL:0⟧  あがってこい」	keruberosu「magureka… ungayokattana /  nozomidoori kodomohakaeshiteyaru /  agattekoi」	けるべろす「まぐれか… うんがよかったな のぞみどおり こどもはかえしてやる あがってこい」	Cerberus: Lucky guess...{CTRL:0}fine, the child is free.{CTRL:0}Come back up.	Cerberus: Lucky guess... ⟦CTRL:0⟧ fine, the child is free. ⟦CTRL:0⟧ Come back up.	0,0	0,0	yes	hiragana:39; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		こども → 子供	ellipsis carries timing/hesitation tone	low		
752	TT4	TT4/g4/r14	scenario	group 4 @ 0xBEB5; record 14	group-compressed	よかった…… これでどうにか……{CTRL:0}{CTRL:2}……「まて」{CTRL:6}いやなよかん……／	よかった…… これでどうにか…… ⟦CTRL:0⟧  ⟦CTRL:2⟧ ……「まて」 ⟦CTRL:6⟧ いやなよかん……／	yokatta…… korededounika…… /  / ……「mate」 / iyanayokan……／	よかった…… これでどうにか…………「まて」いやなよかん……／	Good... we made it...{CTRL:0}{CTRL:2}... wait.{CTRL:6}I have a bad feeling!	Good... we made it... ⟦CTRL:0⟧  ⟦CTRL:2⟧ ... wait. ⟦CTRL:6⟧ I have a bad feeling!	0,2,6	0,2,6	yes	hiragana:19; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context	ellipsis carries timing/hesitation tone	medium		
753	TT4	TT4/g4/r15	scenario	group 4 @ 0xBEB5; record 15	group-compressed	あくま「この くそがきが……{CTRL:1} つまらぬていこうをするから こんなところまで{CTRL:0} くるはめになったのだ{CTRL:6} もういちど ちゃんすをやる{CTRL:4} たましいのけいやくを うけろ／{CTRL:3} そうすれば このよは わしとおまえのものだ{CTRL:3} さあ こっちへこい／」	あくま「この くそがきが…… ⟦CTRL:1⟧  つまらぬていこうをするから こんなところまで ⟦CTRL:0⟧  くるはめになったのだ ⟦CTRL:6⟧  もういちど ちゃんすをやる ⟦CTRL:4⟧  たましいのけいやくを うけろ／ ⟦CTRL:3⟧  そうすれば このよは わしとおまえのものだ ⟦CTRL:3⟧  さあ こっちへこい／」	akuma「kono kusogakiga…… /  tsumaranuteikouosurukara konnatokoromade /  kuruhameninattanoda /  mouichido chansuoyaru /  tamashiinokeiyakuo ukero／ /  sousureba konoyoha washitoomaenomonoda /  saa kotchihekoi／」	あくま「この くそがきが…… つまらぬていこうをするから こんなところまで くるはめになったのだ もういちど ちゃんすをやる たましいのけいやくを うけろ／ そうすれば このよは わしとおまえのものだ さあ こっちへこい／」	Devil: Brat...{CTRL:1}you resisted, so{CTRL:0}I came this far.{CTRL:6}One more chance.{CTRL:4}Accept my soul pact!{CTRL:3}Then the world is ours.{CTRL:3}Come to me!	Devil: Brat... ⟦CTRL:1⟧ you resisted, so ⟦CTRL:0⟧ I came this far. ⟦CTRL:6⟧ One more chance. ⟦CTRL:4⟧ Accept my soul pact! ⟦CTRL:3⟧ Then the world is ours. ⟦CTRL:3⟧ Come to me!	1,0,6,4,3,3	1,0,6,4,3,3	yes	hiragana:93; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	わし: elderly or authoritative masculine first person; character voice, not necessarily regional | おまえ: familiar or rough second person; relationship and tone matter	たましい → 魂 | あくま → 悪魔	ellipsis carries timing/hesitation tone	medium		
754	TT4	TT4/g4/r16	scenario	group 4 @ 0xBEB5; record 16	group-compressed	おれ「そっちいっちゃだめだ／ こっちだ／」	おれ「そっちいっちゃだめだ／ こっちだ／」	ore「sotchiitchadameda／ kotchida／」	おれ「そっちいっちゃだめだ／ こっちだ／」	Me: No! Come this way!	Me: No! Come this way!			yes	hiragana:16; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	おれ: plain-to-rough masculine first person	Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
755	TT4	TT4/g4/r17	scenario	group 4 @ 0xBEB5; record 17	group-compressed	あくま「こっちだ／」	あくま「こっちだ／」	akuma「kotchida／」	あくま「こっちだ／」	Devil: Come here!	Devil: Come here!			yes	hiragana:7; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		あくま → 悪魔		low		
756	TT4	TT4/g4/r18	scenario	group 4 @ 0xBEB5; record 18	group-compressed	{CTRL:0}おれ「いや こっちだ／」	⟦CTRL:0⟧ おれ「いや こっちだ／」	 / ore「iya kotchida／」	おれ「いや こっちだ／」	{CTRL:0}Me: No, this way!	⟦CTRL:0⟧ Me: No, this way!	0	0	yes	hiragana:8; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	おれ: plain-to-rough masculine first person	Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
757	TT4	TT4/g4/r19	scenario	group 4 @ 0xBEB5; record 19	group-compressed	あくま「じゃまをするな／{CTRL:0} きさま こんなところまで ついてきおって／」{CTRL:2}おれ「すきで きたわけじゃないぞ……{CTRL:0} お おれのからだを かえせ／」	あくま「じゃまをするな／ ⟦CTRL:0⟧  きさま こんなところまで ついてきおって／」 ⟦CTRL:2⟧ おれ「すきで きたわけじゃないぞ…… ⟦CTRL:0⟧  お おれのからだを かえせ／」	akuma「jamaosuruna／ /  kisama konnatokoromade tsuitekiotte／」 / ore「sukide kitawakejanaizo…… /  o orenokaradao kaese／」	あくま「じゃまをするな／ きさま こんなところまで ついてきおって／」おれ「すきで きたわけじゃないぞ…… お おれのからだを かえせ／」	Devil: Stay out!{CTRL:0}You came this far?!{CTRL:2}Me: Not by choice...{CTRL:0}g-give my body back!	Devil: Stay out! ⟦CTRL:0⟧ You came this far?! ⟦CTRL:2⟧ Me: Not by choice... ⟦CTRL:0⟧ g-give my body back!	0,2,0	0,2,0	yes	hiragana:53; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	おれ: plain-to-rough masculine first person | きさま: hostile/contemptuous second person in modern usage | じゃ: old-person/western-style copula; context decides voice versus region | ぞ: forceful assertion or command emphasis	あくま → 悪魔 | からだ → 体	ellipsis carries timing/hesitation tone	medium		
758	TT4	TT4/g4/r20	scenario	group 4 @ 0xBEB5; record 20	group-compressed	あくま「よるな／」{CTRL:2}からだが うごかない／{CTRL:3}あくま「このからだは わしのものだ{CTRL:4} もうあきらめろ」{CTRL:3}おれ「んなこと いったって……」{CTRL:3}あくま「さあこっちへこい こぞう／ さもないと{CTRL:4} なんどでもきさまを ころしにいくぞ／」	あくま「よるな／」 ⟦CTRL:2⟧ からだが うごかない／ ⟦CTRL:3⟧ あくま「このからだは わしのものだ ⟦CTRL:4⟧  もうあきらめろ」 ⟦CTRL:3⟧ おれ「んなこと いったって……」 ⟦CTRL:3⟧ あくま「さあこっちへこい こぞう／ さもないと ⟦CTRL:4⟧  なんどでもきさまを ころしにいくぞ／」	akuma「yoruna／」 / karadaga ugokanai／ / akuma「konokaradaha washinomonoda /  mouakiramero」 / ore「nnakoto ittatte……」 / akuma「saakotchihekoi kozou／ samonaito /  nandodemokisamao koroshiniikuzo／」	あくま「よるな／」からだが うごかない／あくま「このからだは わしのものだ もうあきらめろ」おれ「んなこと いったって……」あくま「さあこっちへこい こぞう／ さもないと なんどでもきさまを ころしにいくぞ／」	Devil: Stay back!{CTRL:2}I cannot move!{CTRL:3}This body is mine.{CTRL:4}Give up.{CTRL:3}Me: But...{CTRL:3}Devil: Come here, boy!{CTRL:4}or I'll kill you again!	Devil: Stay back! ⟦CTRL:2⟧ I cannot move! ⟦CTRL:3⟧ This body is mine. ⟦CTRL:4⟧ Give up. ⟦CTRL:3⟧ Me: But... ⟦CTRL:3⟧ Devil: Come here, boy! ⟦CTRL:4⟧ or I'll kill you again!	2,3,4,3,3,4	2,3,4,3,3,4	yes	hiragana:83; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	わし: elderly or authoritative masculine first person; character voice, not necessarily regional | おれ: plain-to-rough masculine first person | きさま: hostile/contemptuous second person in modern usage	あくま → 悪魔 | からだ → 体	ellipsis carries timing/hesitation tone	medium		
759	TT4	TT4/g4/r21	scenario	group 4 @ 0xBEB5; record 21	group-compressed	あくま「よしよし それでいいのだ……」	あくま「よしよし それでいいのだ……」	akuma「yoshiyoshi soredeiinoda……」	あくま「よしよし それでいいのだ……」	Devil: Yes... very good.	Devil: Yes... very good.			yes	hiragana:14; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		あくま → 悪魔	ellipsis carries timing/hesitation tone	low		
760	TT4	TT4/g4/r22	scenario	group 4 @ 0xBEB5; record 22	group-compressed	{CTRL:0}しかしそのとき……	⟦CTRL:0⟧ しかしそのとき……	 / shikashisonotoki……	しかしそのとき……	{CTRL:0}But then...	⟦CTRL:0⟧ But then...	0	0	yes	hiragana:7; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context	ellipsis carries timing/hesitation tone	medium		
761	TT4	TT4/g4/r23	scenario	group 4 @ 0xBEB5; record 23	group-compressed	あくま「／」{CTRL:2}すずのねだ……／ いましめのすずが{CTRL:0}たからかに なりひびいている／{CTRL:3}あくま「ぐああああ……／／」	あくま「／」 ⟦CTRL:2⟧ すずのねだ……／ いましめのすずが ⟦CTRL:0⟧ たからかに なりひびいている／ ⟦CTRL:3⟧ あくま「ぐああああ……／／」	akuma「／」 / suzunoneda……／ imashimenosuzuga / takarakani narihibiiteiru／ / akuma「guaaaa……／／」	あくま「／」すずのねだ……／ いましめのすずがたからかに なりひびいている／あくま「ぐああああ……／／」	Devil: What?!{CTRL:2}The Binding Bell rings!{CTRL:0}Its peal fills the air!{CTRL:3}Devil: Gaaaaah...!!	Devil: What?! ⟦CTRL:2⟧ The Binding Bell rings! ⟦CTRL:0⟧ Its peal fills the air! ⟦CTRL:3⟧ Devil: Gaaaaah...!!	2,0,3	2,0,3	yes	hiragana:37; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		あくま → 悪魔	ellipsis carries timing/hesitation tone	low		
762	TT4	TT4/g4/r24	scenario	group 4 @ 0xBEB5; record 24	group-compressed	あくま「ああああ……／」	あくま「ああああ……／」	akuma「aaaa……／」	あくま「ああああ……／」	Devil: Aaaaah...!	Devil: Aaaaah...!			yes	hiragana:7; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		あくま → 悪魔	ellipsis carries timing/hesitation tone	low		
763	TT4	TT4/g4/r25	scenario	group 4 @ 0xBEB5; record 25	group-compressed	おとこ「あ…／ あそこだ／／」	おとこ「あ…／ あそこだ／／」	otoko「a…／ asokoda／／」	おとこ「あ…／ あそこだ／／」	Man: Ah! Over there!!	Man: Ah! Over there!!			yes	hiragana:8; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		おとこ → 男	ellipsis carries timing/hesitation tone	low		
764	TT4	TT4/g4/r26	scenario	group 4 @ 0xBEB5; record 26	group-compressed	おとこ「ぼっちゃま／ しっかりしてください／」	おとこ「ぼっちゃま／ しっかりしてください／」	otoko「botchama／ shikkarishitekudasai／」	おとこ「ぼっちゃま／ しっかりしてください／」	Man: My lord! Wake up!	Man: My lord! Wake up!			yes	hiragana:18; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		おとこ → 男		low		
